TableName                | EntryIndex   | EntryName
AsmSigST                 | 0            |         
AsmSigST                 | 1            | aaa     
AsmSigST                 | 2            | aad     
AsmSigST                 | 3            | aad imm8
AsmSigST                 | 4            | adc AL, imm8
AsmSigST                 | 5            | adc AX, imm16
AsmSigST                 | 6            | adc EAX, imm32
AsmSigST                 | 7            | adc m16, imm16
AsmSigST                 | 8            | adc m16, imm8
AsmSigST                 | 9            | adc m16, r16
AsmSigST                 | 10           | adc m32, imm32
AsmSigST                 | 11           | adc m32, imm8
AsmSigST                 | 12           | adc m32, r32
AsmSigST                 | 13           | adc m64, imm32
AsmSigST                 | 14           | adc m64, imm8
AsmSigST                 | 15           | adc m64, r64
AsmSigST                 | 16           | adc m8, imm8
AsmSigST                 | 17           | adc m8, imm8
AsmSigST                 | 18           | adc m8, r8
AsmSigST                 | 19           | adc m8, r8
AsmSigST                 | 20           | adc r16, imm16
AsmSigST                 | 21           | adc r16, imm8
AsmSigST                 | 22           | adc r16, m16
AsmSigST                 | 23           | adc r16, r16
AsmSigST                 | 24           | adc r16, r16
AsmSigST                 | 25           | adc r32, imm32
AsmSigST                 | 26           | adc r32, imm8
AsmSigST                 | 27           | adc r32, m32
AsmSigST                 | 28           | adc r32, r32
AsmSigST                 | 29           | adc r32, r32
AsmSigST                 | 30           | adc r64, imm32
AsmSigST                 | 31           | adc r64, imm8
AsmSigST                 | 32           | adc r64, m64
AsmSigST                 | 33           | adc r64, r64
AsmSigST                 | 34           | adc r64, r64
AsmSigST                 | 35           | adc r8, imm8
AsmSigST                 | 36           | adc r8, imm8
AsmSigST                 | 37           | adc r8, m8
AsmSigST                 | 38           | adc r8, m8
AsmSigST                 | 39           | adc r8, r8
AsmSigST                 | 40           | adc r8, r8
AsmSigST                 | 41           | adc r8, r8
AsmSigST                 | 42           | adc RAX, imm32
AsmSigST                 | 43           | adcx r32, m32
AsmSigST                 | 44           | adcx r32, r32
AsmSigST                 | 45           | adcx r64, m64
AsmSigST                 | 46           | adcx r64, r64
AsmSigST                 | 47           | add AL, imm8
AsmSigST                 | 48           | add AX, imm16
AsmSigST                 | 49           | add EAX, imm32
AsmSigST                 | 50           | add m16, imm16
AsmSigST                 | 51           | add m16, imm8
AsmSigST                 | 52           | add m16, r16
AsmSigST                 | 53           | add m32, imm32
AsmSigST                 | 54           | add m32, imm8
AsmSigST                 | 55           | add m32, r32
AsmSigST                 | 56           | add m64, imm32
AsmSigST                 | 57           | add m64, imm8
AsmSigST                 | 58           | add m64, r64
AsmSigST                 | 59           | add m8, imm8
AsmSigST                 | 60           | add m8, imm8
AsmSigST                 | 61           | add m8, r8
AsmSigST                 | 62           | add m8, r8
AsmSigST                 | 63           | add r16, imm16
AsmSigST                 | 64           | add r16, imm8
AsmSigST                 | 65           | add r16, m16
AsmSigST                 | 66           | add r16, r16
AsmSigST                 | 67           | add r16, r16
