Table                    | Index        | Content
FormatST                 | 0            | AddCCFrm
FormatST                 | 1            | AddRegFrm
FormatST                 | 2            | MRM0X
FormatST                 | 3            | MRM0m
FormatST                 | 4            | MRM0r
FormatST                 | 5            | MRM1X
FormatST                 | 6            | MRM1m
FormatST                 | 7            | MRM1r
FormatST                 | 8            | MRM2X
FormatST                 | 9            | MRM2m
FormatST                 | 10           | MRM2r
FormatST                 | 11           | MRM3X
FormatST                 | 12           | MRM3m
FormatST                 | 13           | MRM3r
FormatST                 | 14           | MRM4X
FormatST                 | 15           | MRM4m
FormatST                 | 16           | MRM4r
FormatST                 | 17           | MRM5X
FormatST                 | 18           | MRM5m
FormatST                 | 19           | MRM5r
FormatST                 | 20           | MRM6X
FormatST                 | 21           | MRM6m
FormatST                 | 22           | MRM6r
FormatST                 | 23           | MRM7X
FormatST                 | 24           | MRM7m
FormatST                 | 25           | MRM7r
FormatST                 | 26           | MRMDestMem
FormatST                 | 27           | MRMDestMemFSIB
FormatST                 | 28           | MRMDestReg
FormatST                 | 29           | MRMSrcMem
FormatST                 | 30           | MRMSrcMem4VOp3
FormatST                 | 31           | MRMSrcMemCC
FormatST                 | 32           | MRMSrcMemFSIB
FormatST                 | 33           | MRMSrcMemOp4
FormatST                 | 34           | MRMSrcReg
FormatST                 | 35           | MRMSrcReg4VOp3
FormatST                 | 36           | MRMSrcRegCC
FormatST                 | 37           | MRMSrcRegOp4
FormatST                 | 38           | MRMXm
FormatST                 | 39           | MRMXmCC
FormatST                 | 40           | MRMXr
FormatST                 | 41           | MRMXrCC
FormatST                 | 42           | MRM_C0
FormatST                 | 43           | MRM_C1
FormatST                 | 44           | MRM_C2
FormatST                 | 45           | MRM_C3
FormatST                 | 46           | MRM_C4
FormatST                 | 47           | MRM_C5
FormatST                 | 48           | MRM_C6
FormatST                 | 49           | MRM_C7
FormatST                 | 50           | MRM_C8
FormatST                 | 51           | MRM_C9
FormatST                 | 52           | MRM_CA
FormatST                 | 53           | MRM_CB
FormatST                 | 54           | MRM_CC
FormatST                 | 55           | MRM_CD
FormatST                 | 56           | MRM_CE
FormatST                 | 57           | MRM_CF
FormatST                 | 58           | MRM_D0
FormatST                 | 59           | MRM_D1
FormatST                 | 60           | MRM_D2
FormatST                 | 61           | MRM_D3
FormatST                 | 62           | MRM_D4
FormatST                 | 63           | MRM_D5
FormatST                 | 64           | MRM_D6
FormatST                 | 65           | MRM_D7
FormatST                 | 66           | MRM_D8
FormatST                 | 67           | MRM_D9
FormatST                 | 68           | MRM_DA
FormatST                 | 69           | MRM_DB
FormatST                 | 70           | MRM_DC
FormatST                 | 71           | MRM_DD
FormatST                 | 72           | MRM_DE
FormatST                 | 73           | MRM_DF
FormatST                 | 74           | MRM_E0
FormatST                 | 75           | MRM_E1
FormatST                 | 76           | MRM_E2
FormatST                 | 77           | MRM_E3
FormatST                 | 78           | MRM_E4
FormatST                 | 79           | MRM_E5
FormatST                 | 80           | MRM_E6
FormatST                 | 81           | MRM_E7
FormatST                 | 82           | MRM_E8
FormatST                 | 83           | MRM_E9
FormatST                 | 84           | MRM_EA
FormatST                 | 85           | MRM_EB
FormatST                 | 86           | MRM_EC
FormatST                 | 87           | MRM_ED
FormatST                 | 88           | MRM_EE
FormatST                 | 89           | MRM_EF
FormatST                 | 90           | MRM_F0
FormatST                 | 91           | MRM_F1
FormatST                 | 92           | MRM_F2
FormatST                 | 93           | MRM_F3
FormatST                 | 94           | MRM_F4
FormatST                 | 95           | MRM_F5
FormatST                 | 96           | MRM_F6
FormatST                 | 97           | MRM_F7
FormatST                 | 98           | MRM_F8
FormatST                 | 99           | MRM_F9
FormatST                 | 100          | MRM_FA
FormatST                 | 101          | MRM_FB
FormatST                 | 102          | MRM_FC
FormatST                 | 103          | MRM_FD
FormatST                 | 104          | MRM_FE
FormatST                 | 105          | MRM_FF
FormatST                 | 106          | MRMr0
FormatST                 | 107          | PrefixByte
FormatST                 | 108          | Pseudo
FormatST                 | 109          | RawFrm
FormatST                 | 110          | RawFrmDst
FormatST                 | 111          | RawFrmDstSrc
FormatST                 | 112          | RawFrmImm16
FormatST                 | 113          | RawFrmImm8
FormatST                 | 114          | RawFrmMemOffs
FormatST                 | 115          | RawFrmSrc
