Table                    | Index        | Content
LLVMTypeST               | 0            | anonymous_17
LLVMTypeST               | 1            | anonymous_18
LLVMTypeST               | 2            | anonymous_19
LLVMTypeST               | 3            | anonymous_198
LLVMTypeST               | 4            | anonymous_2372
LLVMTypeST               | 5            | anonymous_2373
LLVMTypeST               | 6            | anonymous_2375
LLVMTypeST               | 7            | anonymous_2376
LLVMTypeST               | 8            | anonymous_27
LLVMTypeST               | 9            | anonymous_2720
LLVMTypeST               | 10           | anonymous_28
LLVMTypeST               | 11           | anonymous_29
LLVMTypeST               | 12           | anonymous_30
LLVMTypeST               | 13           | anonymous_31
LLVMTypeST               | 14           | anonymous_35
LLVMTypeST               | 15           | anonymous_36
LLVMTypeST               | 16           | anonymous_3695
LLVMTypeST               | 17           | anonymous_3696
LLVMTypeST               | 18           | anonymous_3697
LLVMTypeST               | 19           | anonymous_3698
LLVMTypeST               | 20           | anonymous_3699
LLVMTypeST               | 21           | anonymous_37
LLVMTypeST               | 22           | anonymous_3700
LLVMTypeST               | 23           | anonymous_3704
LLVMTypeST               | 24           | anonymous_3705
LLVMTypeST               | 25           | anonymous_3706
LLVMTypeST               | 26           | anonymous_3707
LLVMTypeST               | 27           | anonymous_3708
LLVMTypeST               | 28           | anonymous_3709
LLVMTypeST               | 29           | anonymous_3710
LLVMTypeST               | 30           | anonymous_41
LLVMTypeST               | 31           | anonymous_42
LLVMTypeST               | 32           | anonymous_43
LLVMTypeST               | 33           | anonymous_44
LLVMTypeST               | 34           | anonymous_45
LLVMTypeST               | 35           | anonymous_46
LLVMTypeST               | 36           | anonymous_47
LLVMTypeST               | 37           | anonymous_48
LLVMTypeST               | 38           | llvm_any_i64ptr_ty
LLVMTypeST               | 39           | llvm_any_ty
LLVMTypeST               | 40           | llvm_anyfloat_ty
LLVMTypeST               | 41           | llvm_anyint_ty
LLVMTypeST               | 42           | llvm_anyptr_ty
LLVMTypeST               | 43           | llvm_anyvector_ty
LLVMTypeST               | 44           | llvm_bfloat_ty
LLVMTypeST               | 45           | llvm_descriptor_ty
LLVMTypeST               | 46           | llvm_double_ty
LLVMTypeST               | 47           | llvm_empty_ty
LLVMTypeST               | 48           | llvm_externref_ty
LLVMTypeST               | 49           | llvm_f128_ty
LLVMTypeST               | 50           | llvm_f80_ty
LLVMTypeST               | 51           | llvm_float_ty
LLVMTypeST               | 52           | llvm_funcref_ty
LLVMTypeST               | 53           | llvm_global_i8ptr_ty
LLVMTypeST               | 54           | llvm_half_ty
LLVMTypeST               | 55           | llvm_i16_ty
LLVMTypeST               | 56           | llvm_i1_ty
LLVMTypeST               | 57           | llvm_i32_ty
LLVMTypeST               | 58           | llvm_i64_ty
LLVMTypeST               | 59           | llvm_i64ptr_ty
LLVMTypeST               | 60           | llvm_i8_ty
LLVMTypeST               | 61           | llvm_metadata_ty
LLVMTypeST               | 62           | llvm_nxv16i1_ty
LLVMTypeST               | 63           | llvm_nxv16i8_ty
LLVMTypeST               | 64           | llvm_nxv2f64_ty
LLVMTypeST               | 65           | llvm_nxv2i1_ty
LLVMTypeST               | 66           | llvm_nxv2i64_ty
LLVMTypeST               | 67           | llvm_nxv4f32_ty
LLVMTypeST               | 68           | llvm_nxv4i1_ty
LLVMTypeST               | 69           | llvm_nxv4i32_ty
LLVMTypeST               | 70           | llvm_nxv8bf16_ty
LLVMTypeST               | 71           | llvm_nxv8f16_ty
LLVMTypeST               | 72           | llvm_nxv8i1_ty
LLVMTypeST               | 73           | llvm_ppcf128_ty
LLVMTypeST               | 74           | llvm_ptr32_ty
LLVMTypeST               | 75           | llvm_ptr64_ty
LLVMTypeST               | 76           | llvm_ptr_ty
LLVMTypeST               | 77           | llvm_ptrptr_ty
LLVMTypeST               | 78           | llvm_ptrx86mmx_ty
LLVMTypeST               | 79           | llvm_shared_i64ptr_ty
LLVMTypeST               | 80           | llvm_shared_i8ptr_ty
LLVMTypeST               | 81           | llvm_table_ty
LLVMTypeST               | 82           | llvm_token_ty
LLVMTypeST               | 83           | llvm_v1024i1_ty
LLVMTypeST               | 84           | llvm_v128i16_ty
LLVMTypeST               | 85           | llvm_v128i1_ty
