Table                    | Index        | Content
MapST                    | 0            | OB
MapST                    | 1            | T8
MapST                    | 2            | TA
MapST                    | 3            | TB
MapST                    | 4            | T_MAP5
MapST                    | 5            | T_MAP6
MapST                    | 6            | ThreeDNow
MapST                    | 7            | XOP8
MapST                    | 8            | XOP9
MapST                    | 9            | XOPA
