Table                    | Index        | Content
ComplexPatternST         | 0            | addr
ComplexPatternST         | 1            | lea32addr
ComplexPatternST         | 2            | lea64_32addr
ComplexPatternST         | 3            | lea64addr
ComplexPatternST         | 4            | mov64imm32
ComplexPatternST         | 5            | relocImm
ComplexPatternST         | 6            | tls32addr
ComplexPatternST         | 7            | tls32baseaddr
ComplexPatternST         | 8            | tls64addr
ComplexPatternST         | 9            | tls64baseaddr
ComplexPatternST         | 10           | vectoraddr
