Table                    | Index        | Content
DAGOperandST             | 0            | AVX512RC
DAGOperandST             | 1            | CCR
DAGOperandST             | 2            | CONTROL_REG
DAGOperandST             | 3            | DEBUG_REG
DAGOperandST             | 4            | DFCCR
DAGOperandST             | 5            | FPCCR
DAGOperandST             | 6            | FR16X
DAGOperandST             | 7            | FR32
DAGOperandST             | 8            | FR32X
DAGOperandST             | 9            | FR64
DAGOperandST             | 10           | FR64X
DAGOperandST             | 11           | GR16
DAGOperandST             | 12           | GR16_ABCD
DAGOperandST             | 13           | GR16_NOREX
DAGOperandST             | 14           | GR16orGR32orGR64
DAGOperandST             | 15           | GR32
DAGOperandST             | 16           | GR32_ABCD
DAGOperandST             | 17           | GR32_AD
DAGOperandST             | 18           | GR32_BPSP
DAGOperandST             | 19           | GR32_BSI
DAGOperandST             | 20           | GR32_CB
DAGOperandST             | 21           | GR32_DC
DAGOperandST             | 22           | GR32_DIBP
DAGOperandST             | 23           | GR32_NOREX
DAGOperandST             | 24           | GR32_NOREX_NOSP
DAGOperandST             | 25           | GR32_NOSP
DAGOperandST             | 26           | GR32_SIDI
DAGOperandST             | 27           | GR32_TC
DAGOperandST             | 28           | GR32orGR64
DAGOperandST             | 29           | GR64
DAGOperandST             | 30           | GR64PLTSafe
DAGOperandST             | 31           | GR64_ABCD
DAGOperandST             | 32           | GR64_AD
DAGOperandST             | 33           | GR64_NOREX
DAGOperandST             | 34           | GR64_NOREX_NOSP
DAGOperandST             | 35           | GR64_NOSP
DAGOperandST             | 36           | GR64_TC
DAGOperandST             | 37           | GR64_TCW64
DAGOperandST             | 38           | GR8
DAGOperandST             | 39           | GR8_ABCD_H
DAGOperandST             | 40           | GR8_ABCD_L
DAGOperandST             | 41           | GR8_NOREX
DAGOperandST             | 42           | GRH16
DAGOperandST             | 43           | GRH8
DAGOperandST             | 44           | LOW32_ADDR_ACCESS
DAGOperandST             | 45           | LOW32_ADDR_ACCESS_RBP
DAGOperandST             | 46           | RFP32
DAGOperandST             | 47           | RFP64
DAGOperandST             | 48           | RFP80
DAGOperandST             | 49           | RFP80_7
DAGOperandST             | 50           | RST
DAGOperandST             | 51           | RSTi
DAGOperandST             | 52           | SEGMENT_REG
DAGOperandST             | 53           | TILE
DAGOperandST             | 54           | VK1
DAGOperandST             | 55           | VK16
DAGOperandST             | 56           | VK16PAIR
DAGOperandST             | 57           | VK16Pair
DAGOperandST             | 58           | VK16WM
DAGOperandST             | 59           | VK1PAIR
DAGOperandST             | 60           | VK1Pair
DAGOperandST             | 61           | VK1WM
DAGOperandST             | 62           | VK2
DAGOperandST             | 63           | VK2PAIR
DAGOperandST             | 64           | VK2Pair
DAGOperandST             | 65           | VK2WM
DAGOperandST             | 66           | VK32
DAGOperandST             | 67           | VK32WM
DAGOperandST             | 68           | VK4
DAGOperandST             | 69           | VK4PAIR
DAGOperandST             | 70           | VK4Pair
DAGOperandST             | 71           | VK4WM
DAGOperandST             | 72           | VK64
DAGOperandST             | 73           | VK64WM
DAGOperandST             | 74           | VK8
DAGOperandST             | 75           | VK8PAIR
DAGOperandST             | 76           | VK8Pair
DAGOperandST             | 77           | VK8WM
DAGOperandST             | 78           | VR128
DAGOperandST             | 79           | VR128X
DAGOperandST             | 80           | VR256
DAGOperandST             | 81           | VR256X
DAGOperandST             | 82           | VR512
DAGOperandST             | 83           | VR512_0_15
DAGOperandST             | 84           | VR64
DAGOperandST             | 85           | anymem
DAGOperandST             | 86           | brtarget
DAGOperandST             | 87           | brtarget16
DAGOperandST             | 88           | brtarget32
DAGOperandST             | 89           | brtarget8
DAGOperandST             | 90           | ccode
DAGOperandST             | 91           | dstidx16
DAGOperandST             | 92           | dstidx32
DAGOperandST             | 93           | dstidx64
DAGOperandST             | 94           | dstidx8
DAGOperandST             | 95           | f128mem
DAGOperandST             | 96           | f16mem
DAGOperandST             | 97           | f256mem
DAGOperandST             | 98           | f32imm
DAGOperandST             | 99           | f32mem
DAGOperandST             | 100          | f512mem
DAGOperandST             | 101          | f64imm
DAGOperandST             | 102          | f64mem
DAGOperandST             | 103          | f80mem
DAGOperandST             | 104          | i128mem
DAGOperandST             | 105          | i16i8imm
DAGOperandST             | 106          | i16imm
DAGOperandST             | 107          | i16imm_brtarget
DAGOperandST             | 108          | i16mem
DAGOperandST             | 109          | i16u8imm
DAGOperandST             | 110          | i1imm
DAGOperandST             | 111          | i256mem
DAGOperandST             | 112          | i32i8imm
DAGOperandST             | 113          | i32imm
DAGOperandST             | 114          | i32imm_brtarget
DAGOperandST             | 115          | i32mem
DAGOperandST             | 116          | i32mem_TC
DAGOperandST             | 117          | i32u8imm
DAGOperandST             | 118          | i512mem
DAGOperandST             | 119          | i64i32imm
DAGOperandST             | 120          | i64i32imm_brtarget
DAGOperandST             | 121          | i64i8imm
DAGOperandST             | 122          | i64imm
DAGOperandST             | 123          | i64mem
DAGOperandST             | 124          | i64mem_TC
DAGOperandST             | 125          | i64u8imm
DAGOperandST             | 126          | i8imm
DAGOperandST             | 127          | i8mem
DAGOperandST             | 128          | i8mem_NOREX
DAGOperandST             | 129          | lea64_32mem
DAGOperandST             | 130          | lea64mem
DAGOperandST             | 131          | offset16_16
DAGOperandST             | 132          | offset16_32
DAGOperandST             | 133          | offset16_8
DAGOperandST             | 134          | offset32_16
DAGOperandST             | 135          | offset32_32
DAGOperandST             | 136          | offset32_64
DAGOperandST             | 137          | offset32_8
