Table                    | Index        | Content
ValueTypeST              | 0            | Any
ValueTypeST              | 1            | FlagVT
ValueTypeST              | 2            | MetadataVT
ValueTypeST              | 3            | OtherVT
ValueTypeST              | 4            | bf16
ValueTypeST              | 5            | externref
ValueTypeST              | 6            | f128
ValueTypeST              | 7            | f16
ValueTypeST              | 8            | f32
ValueTypeST              | 9            | f64
ValueTypeST              | 10           | f80
ValueTypeST              | 11           | fAny
ValueTypeST              | 12           | funcref
ValueTypeST              | 13           | i1
ValueTypeST              | 14           | i128
ValueTypeST              | 15           | i16
ValueTypeST              | 16           | i32
ValueTypeST              | 17           | i64
ValueTypeST              | 18           | i64x8
ValueTypeST              | 19           | i8
ValueTypeST              | 20           | iAny
ValueTypeST              | 21           | iPTR
ValueTypeST              | 22           | iPTRAny
ValueTypeST              | 23           | isVoid
ValueTypeST              | 24           | nxv16f16
ValueTypeST              | 25           | nxv16f32
ValueTypeST              | 26           | nxv16i1
ValueTypeST              | 27           | nxv16i16
ValueTypeST              | 28           | nxv16i32
ValueTypeST              | 29           | nxv16i64
ValueTypeST              | 30           | nxv16i8
ValueTypeST              | 31           | nxv1bf16
ValueTypeST              | 32           | nxv1f16
ValueTypeST              | 33           | nxv1f32
ValueTypeST              | 34           | nxv1f64
ValueTypeST              | 35           | nxv1i1
ValueTypeST              | 36           | nxv1i16
ValueTypeST              | 37           | nxv1i32
ValueTypeST              | 38           | nxv1i64
ValueTypeST              | 39           | nxv1i8
ValueTypeST              | 40           | nxv2bf16
ValueTypeST              | 41           | nxv2f16
ValueTypeST              | 42           | nxv2f32
ValueTypeST              | 43           | nxv2f64
ValueTypeST              | 44           | nxv2i1
ValueTypeST              | 45           | nxv2i16
ValueTypeST              | 46           | nxv2i32
ValueTypeST              | 47           | nxv2i64
ValueTypeST              | 48           | nxv2i8
ValueTypeST              | 49           | nxv32f16
ValueTypeST              | 50           | nxv32i1
ValueTypeST              | 51           | nxv32i16
ValueTypeST              | 52           | nxv32i32
ValueTypeST              | 53           | nxv32i64
ValueTypeST              | 54           | nxv32i8
ValueTypeST              | 55           | nxv4bf16
ValueTypeST              | 56           | nxv4f16
ValueTypeST              | 57           | nxv4f32
ValueTypeST              | 58           | nxv4f64
ValueTypeST              | 59           | nxv4i1
ValueTypeST              | 60           | nxv4i16
ValueTypeST              | 61           | nxv4i32
ValueTypeST              | 62           | nxv4i64
ValueTypeST              | 63           | nxv4i8
ValueTypeST              | 64           | nxv64i1
ValueTypeST              | 65           | nxv64i8
ValueTypeST              | 66           | nxv8bf16
ValueTypeST              | 67           | nxv8f16
ValueTypeST              | 68           | nxv8f32
ValueTypeST              | 69           | nxv8f64
ValueTypeST              | 70           | nxv8i1
ValueTypeST              | 71           | nxv8i16
ValueTypeST              | 72           | nxv8i32
ValueTypeST              | 73           | nxv8i64
ValueTypeST              | 74           | nxv8i8
ValueTypeST              | 75           | ppcf128
ValueTypeST              | 76           | token
ValueTypeST              | 77           | untyped
ValueTypeST              | 78           | v1024f32
ValueTypeST              | 79           | v1024i1
ValueTypeST              | 80           | v1024i32
ValueTypeST              | 81           | v1024i8
ValueTypeST              | 82           | v128bf16
ValueTypeST              | 83           | v128f16
ValueTypeST              | 84           | v128f32
ValueTypeST              | 85           | v128f64
ValueTypeST              | 86           | v128i1
ValueTypeST              | 87           | v128i16
ValueTypeST              | 88           | v128i32
ValueTypeST              | 89           | v128i64
ValueTypeST              | 90           | v128i8
ValueTypeST              | 91           | v16bf16
ValueTypeST              | 92           | v16f16
ValueTypeST              | 93           | v16f32
ValueTypeST              | 94           | v16f64
ValueTypeST              | 95           | v16i1
ValueTypeST              | 96           | v16i16
ValueTypeST              | 97           | v16i32
ValueTypeST              | 98           | v16i64
ValueTypeST              | 99           | v16i8
ValueTypeST              | 100          | v1f16
ValueTypeST              | 101          | v1f32
ValueTypeST              | 102          | v1f64
ValueTypeST              | 103          | v1i1
ValueTypeST              | 104          | v1i128
ValueTypeST              | 105          | v1i16
ValueTypeST              | 106          | v1i32
ValueTypeST              | 107          | v1i64
ValueTypeST              | 108          | v1i8
ValueTypeST              | 109          | v2048f32
ValueTypeST              | 110          | v2048i32
ValueTypeST              | 111          | v256f16
ValueTypeST              | 112          | v256f32
ValueTypeST              | 113          | v256f64
ValueTypeST              | 114          | v256i1
ValueTypeST              | 115          | v256i16
ValueTypeST              | 116          | v256i32
ValueTypeST              | 117          | v256i64
ValueTypeST              | 118          | v256i8
ValueTypeST              | 119          | v2bf16
ValueTypeST              | 120          | v2f16
ValueTypeST              | 121          | v2f32
ValueTypeST              | 122          | v2f64
ValueTypeST              | 123          | v2i1
ValueTypeST              | 124          | v2i16
ValueTypeST              | 125          | v2i32
ValueTypeST              | 126          | v2i64
ValueTypeST              | 127          | v2i8
ValueTypeST              | 128          | v32bf16
ValueTypeST              | 129          | v32f16
ValueTypeST              | 130          | v32f32
ValueTypeST              | 131          | v32f64
ValueTypeST              | 132          | v32i1
ValueTypeST              | 133          | v32i16
ValueTypeST              | 134          | v32i32
ValueTypeST              | 135          | v32i64
ValueTypeST              | 136          | v32i8
ValueTypeST              | 137          | v3bf16
ValueTypeST              | 138          | v3f16
ValueTypeST              | 139          | v3f32
ValueTypeST              | 140          | v3f64
ValueTypeST              | 141          | v3i16
ValueTypeST              | 142          | v3i32
ValueTypeST              | 143          | v3i64
ValueTypeST              | 144          | v4bf16
ValueTypeST              | 145          | v4f16
ValueTypeST              | 146          | v4f32
ValueTypeST              | 147          | v4f64
ValueTypeST              | 148          | v4i1
ValueTypeST              | 149          | v4i16
ValueTypeST              | 150          | v4i32
ValueTypeST              | 151          | v4i64
ValueTypeST              | 152          | v4i8
ValueTypeST              | 153          | v512f16
ValueTypeST              | 154          | v512f32
ValueTypeST              | 155          | v512i1
ValueTypeST              | 156          | v512i16
ValueTypeST              | 157          | v512i32
ValueTypeST              | 158          | v512i8
ValueTypeST              | 159          | v5f32
ValueTypeST              | 160          | v5i32
