Table                    | Index        | Content
CondCodeST               | 0            | SETEQ
CondCodeST               | 1            | SETGE
CondCodeST               | 2            | SETGT
CondCodeST               | 3            | SETLE
CondCodeST               | 4            | SETLT
CondCodeST               | 5            | SETNE
CondCodeST               | 6            | SETO
CondCodeST               | 7            | SETOEQ
CondCodeST               | 8            | SETOGE
CondCodeST               | 9            | SETOGT
CondCodeST               | 10           | SETOLE
CondCodeST               | 11           | SETOLT
CondCodeST               | 12           | SETONE
CondCodeST               | 13           | SETUEQ
CondCodeST               | 14           | SETUGE
CondCodeST               | 15           | SETUGT
CondCodeST               | 16           | SETULE
CondCodeST               | 17           | SETULT
CondCodeST               | 18           | SETUNE
CondCodeST               | 19           | SETUO
