Table                    | Index        | Content
InstructionEquivalenceClassST | 0            | anonymous_12213
InstructionEquivalenceClassST | 1            | anonymous_12214
InstructionEquivalenceClassST | 2            | anonymous_12215
InstructionEquivalenceClassST | 3            | anonymous_13242
InstructionEquivalenceClassST | 4            | anonymous_14222
InstructionEquivalenceClassST | 5            | anonymous_15007
InstructionEquivalenceClassST | 6            | anonymous_15008
InstructionEquivalenceClassST | 7            | anonymous_15913
InstructionEquivalenceClassST | 8            | anonymous_15914
InstructionEquivalenceClassST | 9            | anonymous_15915
InstructionEquivalenceClassST | 10           | anonymous_15916
InstructionEquivalenceClassST | 11           | anonymous_15918
InstructionEquivalenceClassST | 12           | anonymous_15920
InstructionEquivalenceClassST | 13           | anonymous_15921
InstructionEquivalenceClassST | 14           | anonymous_15922
InstructionEquivalenceClassST | 15           | anonymous_15923
InstructionEquivalenceClassST | 16           | anonymous_15924
InstructionEquivalenceClassST | 17           | anonymous_17768
InstructionEquivalenceClassST | 18           | anonymous_17781
InstructionEquivalenceClassST | 19           | anonymous_17782
InstructionEquivalenceClassST | 20           | anonymous_17783
InstructionEquivalenceClassST | 21           | anonymous_17784
InstructionEquivalenceClassST | 22           | anonymous_17786
InstructionEquivalenceClassST | 23           | anonymous_17787
InstructionEquivalenceClassST | 24           | anonymous_18742
InstructionEquivalenceClassST | 25           | anonymous_18743
InstructionEquivalenceClassST | 26           | anonymous_18745
InstructionEquivalenceClassST | 27           | anonymous_18746
InstructionEquivalenceClassST | 28           | anonymous_18747
InstructionEquivalenceClassST | 29           | anonymous_19626
InstructionEquivalenceClassST | 30           | anonymous_19627
InstructionEquivalenceClassST | 31           | anonymous_19630
InstructionEquivalenceClassST | 32           | anonymous_21649
