Table                    | Index        | Content
X86InstST                | 0            | AAA
X86InstST                | 1            | AAD8i8
X86InstST                | 2            | AAM8i8
X86InstST                | 3            | AAS
X86InstST                | 4            | ABS_F
X86InstST                | 5            | ABS_Fp32
X86InstST                | 6            | ABS_Fp64
X86InstST                | 7            | ABS_Fp80
X86InstST                | 8            | ADC16i16
X86InstST                | 9            | ADC16mi
X86InstST                | 10           | ADC16mi8
X86InstST                | 11           | ADC16mr
X86InstST                | 12           | ADC16ri
X86InstST                | 13           | ADC16ri8
X86InstST                | 14           | ADC16rm
X86InstST                | 15           | ADC16rr
X86InstST                | 16           | ADC16rr_REV
X86InstST                | 17           | ADC32i32
X86InstST                | 18           | ADC32mi
X86InstST                | 19           | ADC32mi8
X86InstST                | 20           | ADC32mr
X86InstST                | 21           | ADC32ri
X86InstST                | 22           | ADC32ri8
X86InstST                | 23           | ADC32rm
X86InstST                | 24           | ADC32rr
X86InstST                | 25           | ADC32rr_REV
X86InstST                | 26           | ADC64i32
X86InstST                | 27           | ADC64mi32
X86InstST                | 28           | ADC64mi8
X86InstST                | 29           | ADC64mr
X86InstST                | 30           | ADC64ri32
X86InstST                | 31           | ADC64ri8
X86InstST                | 32           | ADC64rm
X86InstST                | 33           | ADC64rr
X86InstST                | 34           | ADC64rr_REV
X86InstST                | 35           | ADC8i8
X86InstST                | 36           | ADC8mi
X86InstST                | 37           | ADC8mi8
X86InstST                | 38           | ADC8mr
X86InstST                | 39           | ADC8ri
X86InstST                | 40           | ADC8ri8
X86InstST                | 41           | ADC8rm
X86InstST                | 42           | ADC8rr
X86InstST                | 43           | ADC8rr_REV
X86InstST                | 44           | ADCX32rm
X86InstST                | 45           | ADCX32rr
X86InstST                | 46           | ADCX64rm
X86InstST                | 47           | ADCX64rr
X86InstST                | 48           | ADD16i16
X86InstST                | 49           | ADD16mi
X86InstST                | 50           | ADD16mi8
X86InstST                | 51           | ADD16mr
X86InstST                | 52           | ADD16ri
X86InstST                | 53           | ADD16ri8
X86InstST                | 54           | ADD16ri8_DB
X86InstST                | 55           | ADD16ri_DB
X86InstST                | 56           | ADD16rm
X86InstST                | 57           | ADD16rr
X86InstST                | 58           | ADD16rr_DB
X86InstST                | 59           | ADD16rr_REV
X86InstST                | 60           | ADD32i32
X86InstST                | 61           | ADD32mi
X86InstST                | 62           | ADD32mi8
X86InstST                | 63           | ADD32mr
X86InstST                | 64           | ADD32ri
X86InstST                | 65           | ADD32ri8
X86InstST                | 66           | ADD32ri8_DB
X86InstST                | 67           | ADD32ri_DB
X86InstST                | 68           | ADD32rm
X86InstST                | 69           | ADD32rr
X86InstST                | 70           | ADD32rr_DB
X86InstST                | 71           | ADD32rr_REV
X86InstST                | 72           | ADD64i32
X86InstST                | 73           | ADD64mi32
X86InstST                | 74           | ADD64mi8
X86InstST                | 75           | ADD64mr
X86InstST                | 76           | ADD64ri32
X86InstST                | 77           | ADD64ri32_DB
X86InstST                | 78           | ADD64ri8
X86InstST                | 79           | ADD64ri8_DB
X86InstST                | 80           | ADD64rm
X86InstST                | 81           | ADD64rr
X86InstST                | 82           | ADD64rr_DB
X86InstST                | 83           | ADD64rr_REV
X86InstST                | 84           | ADD8i8
X86InstST                | 85           | ADD8mi
X86InstST                | 86           | ADD8mi8
X86InstST                | 87           | ADD8mr
X86InstST                | 88           | ADD8ri
X86InstST                | 89           | ADD8ri8
X86InstST                | 90           | ADD8ri_DB
X86InstST                | 91           | ADD8rm
X86InstST                | 92           | ADD8rr
X86InstST                | 93           | ADD8rr_DB
X86InstST                | 94           | ADD8rr_REV
X86InstST                | 95           | ADDPDrm
X86InstST                | 96           | ADDPDrr
X86InstST                | 97           | ADDPSrm
X86InstST                | 98           | ADDPSrr
X86InstST                | 99           | ADDR16_PREFIX
X86InstST                | 100          | ADDR32_PREFIX
X86InstST                | 101          | ADDSDrm
X86InstST                | 102          | ADDSDrm_Int
X86InstST                | 103          | ADDSDrr
X86InstST                | 104          | ADDSDrr_Int
X86InstST                | 105          | ADDSSrm
X86InstST                | 106          | ADDSSrm_Int
X86InstST                | 107          | ADDSSrr
X86InstST                | 108          | ADDSSrr_Int
X86InstST                | 109          | ADDSUBPDrm
X86InstST                | 110          | ADDSUBPDrr
X86InstST                | 111          | ADDSUBPSrm
X86InstST                | 112          | ADDSUBPSrr
X86InstST                | 113          | ADD_F32m
X86InstST                | 114          | ADD_F64m
